episode,score,average score,time
283,-89.84521984634968,111.51503545590465,2023-05-09 19:23:11.043896
284,-13.981617411508864,109.43400768448852,2023-05-09 19:23:18.053971
285,251.56931754349986,109.91421389238427,2023-05-09 19:23:26.526206
286,-67.50927006286834,107.29477351465538,2023-05-09 19:23:27.957579
287,256.5198513975682,107.95273937427288,2023-05-09 19:23:35.328530
288,241.10641500597765,108.11238640415746,2023-05-09 19:23:41.964813
289,201.94065030457674,110.47065895137723,2023-05-09 19:23:47.356325
290,205.22893066492668,109.85754820276466,2023-05-09 19:23:51.263101
291,-110.53558239424203,106.59336253235047,2023-05-09 19:23:52.515285
292,-168.68567580631495,102.74840384575336,2023-05-09 19:23:55.416985
293,47.40559960872224,104.59297741283237,2023-05-09 19:23:58.544294
294,31.901884090599992,107.5909609503735,2023-05-09 19:24:00.206087
295,241.259336614129,107.5826172262935,2023-05-09 19:24:05.052234
296,245.44426465762487,112.23358826408034,2023-05-09 19:24:13.318724
297,249.93499056573035,112.32472941975895,2023-05-09 19:24:18.812027
298,65.75051924678675,111.01459809257626,2023-05-09 19:24:22.561877
299,247.35832305431256,113.8645338332424,2023-05-09 19:24:36.811269
300,294.35756031157626,118.92774530853713,2023-05-09 19:24:41.594720
301,233.05680560520398,119.11123947947065,2023-05-09 19:24:53.225936
302,-189.9578446506644,114.94326996024124,2023-05-09 19:24:57.276474
303,184.67654412929576,114.82940533094742,2023-05-09 19:25:06.828780
304,-37.43189777899022,112.6027580767872,2023-05-09 19:25:10.859278
305,265.56372559745193,119.3818588369142,2023-05-09 19:25:15.509686
306,234.43501385358098,124.30774786126027,2023-05-09 19:25:23.530750
307,219.51686179172887,124.27784256868749,2023-05-09 19:25:32.603368
308,-107.17478051414707,120.80118769122427,2023-05-09 19:25:34.069784
309,-1.124870776918982,121.90967490312383,2023-05-09 19:25:36.984242
310,-95.01394574553655,122.70261741633968,2023-05-09 19:25:38.332406
311,205.42573720294854,127.419792181346,2023-05-09 19:25:46.226613
312,-220.50324065208315,122.48536647918132,2023-05-09 19:25:47.771175
313,-267.3268483614266,122.62886226972492,2023-05-09 19:25:51.292544
314,-230.43905243276606,122.7227636856786,2023-05-09 19:25:52.619653
315,-225.70196140785794,117.33958710293035,2023-05-09 19:25:54.083790
316,-262.45420478095485,112.25950661041828,2023-05-09 19:26:00.816783
317,-145.3483121970122,107.90040502013359,2023-05-09 19:26:02.117368
318,-111.47259610770999,108.64413205418934,2023-05-09 19:26:13.068001
319,-143.56518489388256,105.83429376979382,2023-05-09 19:26:20.270352
320,-204.5917717773441,101.57621100181717,2023-05-09 19:26:21.797101
321,233.50465049545753,104.24680317095108,2023-05-09 19:26:27.177877
322,223.5311294830724,104.99714504390757,2023-05-09 19:26:34.818871
323,143.12564457322506,104.03062742576769,2023-05-09 19:26:44.628148
324,-412.1524415333576,99.76826174165605,2023-05-09 19:26:45.785179
325,-532.8452221174209,91.79006719104753,2023-05-09 19:26:47.253398
326,-284.2095937695145,85.90715809514762,2023-05-09 19:26:50.316321
327,-140.17926095443687,86.59350304392704,2023-05-09 19:26:52.457543
328,-127.69174956755188,82.82836356961381,2023-05-09 19:26:53.969441
329,250.155241760775,82.80538902121283,2023-05-09 19:26:59.573075
330,-247.2208026455643,77.82340303041602,2023-05-09 19:27:02.878733
331,-130.62324167705083,73.88392400489961,2023-05-09 19:27:06.582390
332,-217.12891247658501,69.10024719647402,2023-05-09 19:27:08.846471
333,188.9413455954439,68.49277596809772,2023-05-09 19:27:13.146084
334,-391.4678451760658,61.990571501753294,2023-05-09 19:27:15.428272
335,-324.31037858778336,56.51990839348498,2023-05-09 19:27:18.011082
336,-264.23589526309684,52.07296943188428,2023-05-09 19:27:20.833057
337,-260.85351659095454,46.65381312829382,2023-05-09 19:27:23.742529
338,-440.4730456959799,39.81724921150526,2023-05-09 19:27:24.921575
339,44.45055956319902,39.90817066415741,2023-05-09 19:27:27.848288
340,277.41004411549875,45.086788519111614,2023-05-09 19:27:34.691781
341,166.05954727916856,44.24254508295835,2023-05-09 19:27:42.171568
342,218.4608049709979,45.9716734642321,2023-05-09 19:27:49.265254
343,288.1990732952962,46.28296469225257,2023-05-09 19:27:52.971206
344,232.06199119131367,50.66321573656669,2023-05-09 19:28:08.506177
345,185.20401789427692,52.51262403442959,2023-05-09 19:28:14.243604
346,220.16179975433994,56.3632036838122,2023-05-09 19:28:21.512810
347,-86.75786031151374,52.779322282157516,2023-05-09 19:28:27.068474
348,225.97636652936737,52.711418621824215,2023-05-09 19:28:33.652001
349,181.87784711085007,54.478333294018476,2023-05-09 19:28:41.551448
350,222.50360668323526,54.22460516511758,2023-05-09 19:28:50.873379
351,231.9901559485064,54.08990695118188,2023-05-09 19:29:04.601054
352,25.27969664327101,51.8668940356243,2023-05-09 19:29:10.723901
353,261.6224442818144,52.21341388537146,2023-05-09 19:29:17.686720
354,190.66240408025794,51.71258099910697,2023-05-09 19:29:24.654439
355,199.62969163068485,52.016651535713294,2023-05-09 19:29:34.962108
356,-112.61575915491277,50.83245993798468,2023-05-09 19:29:44.637080
357,171.99863121386454,50.36663433337444,2023-05-09 19:29:54.397278
358,184.89437018415654,49.721022336556246,2023-05-09 19:30:01.856143
359,224.26760625360066,49.756742880408346,2023-05-09 19:30:10.230466
360,259.13777605816483,50.19785943317321,2023-05-09 19:30:18.650350
361,204.06587865047916,53.850275132874565,2023-05-09 19:30:24.185585
362,176.94862401871174,53.017366386865,2023-05-09 19:30:41.596767
