episode,score,average score,time
118,125.06154503384174,-51.144659477050254,2023-05-10 00:42:01.706330
119,162.6750081864633,-48.69811743392554,2023-05-10 00:44:23.867747
120,230.590439510221,-46.0417897959267,2023-05-10 00:45:58.924407
121,142.25690655296458,-42.79848470068791,2023-05-10 00:47:32.383329
122,143.47879907868239,-40.75994825260887,2023-05-10 00:50:16.208992
123,239.18522442270688,-38.039846411375,2023-05-10 00:51:40.174392
124,-45.299448485699045,-37.93945771594467,2023-05-10 00:54:44.336909
125,-19.56704703850869,-37.82938331565224,2023-05-10 00:55:18.694171
126,-37.619452707968144,-36.1982981558505,2023-05-10 00:58:25.070261
127,176.18540311653885,-33.80413565026253,2023-05-10 01:00:07.409786
128,-162.72948595747798,-33.76481769353821,2023-05-10 01:03:03.374951
129,-115.10502529988287,-30.053291494013074,2023-05-10 01:04:31.785706
130,266.8999864176443,-27.03944058342128,2023-05-10 01:05:13.291003
131,158.3579196058478,-22.962460702835884,2023-05-10 01:06:52.866146
132,47.58154563411037,-20.619399171697374,2023-05-10 01:07:23.275116
133,-25.684779620296553,-19.755490412902862,2023-05-10 01:08:51.862337
134,-97.24671588480597,-19.637855979311464,2023-05-10 01:11:03.746023
135,225.9059797411307,-16.3142902234644,2023-05-10 01:12:30.148873
136,199.6152590186565,-12.629442723122056,2023-05-10 01:14:11.156328
137,-38.567044569924164,-14.395272475896087,2023-05-10 01:17:16.540481
138,-28.06232673592251,-13.882900370431793,2023-05-10 01:17:35.034491
139,295.1381558147237,8.501762951806565,2023-05-10 01:18:35.139900
140,-151.70842248249113,12.799015439476461,2023-05-10 01:19:01.562409
141,255.25946516055657,13.441971724929445,2023-05-10 01:20:39.116792
142,-25.969830021534968,14.706163507987354,2023-05-10 01:23:45.319669
143,19.878735132342044,15.309533270406618,2023-05-10 01:24:13.292960
144,192.0397180424904,20.754731424490537,2023-05-10 01:26:51.797918
145,142.6686402906973,22.921420195016637,2023-05-10 01:28:45.777072
146,-39.41157620316693,24.53390580994072,2023-05-10 01:29:15.522841
147,-140.03590895028927,28.97950964132516,2023-05-10 01:29:36.712295
148,190.1415539295511,31.135981911154982,2023-05-10 01:30:57.189476
149,-169.64552723428858,30.219425793259482,2023-05-10 01:33:15.676208
150,236.3153670967924,32.77421896457454,2023-05-10 01:34:12.947871
151,1.77856726216298,32.78477777308526,2023-05-10 01:34:53.532583
152,-155.09308653421218,31.16035616922477,2023-05-10 01:37:12.305585
153,-1.2016167960586017,33.32686444314405,2023-05-10 01:38:29.924345
