episode,score,average score,time
274,168.66909772074087,-13.11966659014587,2023-05-10 18:05:29.893630
275,114.2180272607083,-11.785858739111696,2023-05-10 18:07:16.265404
276,-33.694885190118185,-11.375785778541308,2023-05-10 18:10:21.389245
277,3.909495885341178,-10.988186234966918,2023-05-10 18:13:26.927879
278,-127.08502055075165,-13.017332938261024,2023-05-10 18:13:43.972900
279,-165.96306018081853,-12.511060724083823,2023-05-10 18:14:10.125179
280,34.1971389301398,-11.842808343997403,2023-05-10 18:14:27.800281
281,48.36980871256242,-11.277403071091403,2023-05-10 18:14:52.897782
282,-22.829131029383205,-11.099626732203676,2023-05-10 18:15:25.640856
283,-56.39676289086202,-11.331743447609622,2023-05-10 18:16:22.787151
284,34.927865780622895,-11.086659880836399,2023-05-10 18:19:26.425396
285,-105.10678863602985,-11.564077589072634,2023-05-10 18:19:43.325154
286,-206.74416512004294,-13.54761774996947,2023-05-10 18:20:31.619568
287,245.3387648018492,-11.189099730456105,2023-05-10 18:21:45.606452
288,-258.2758635864317,-13.777707578566769,2023-05-10 18:22:29.704573
289,-305.5104475374798,-16.680448925007962,2023-05-10 18:23:48.420202
290,-306.62223653227886,-19.263654444931294,2023-05-10 18:25:17.777625
291,-66.19806313598053,-19.607729494455793,2023-05-10 18:25:34.720481
292,-225.3256775416741,-20.51839766883984,2023-05-10 18:26:23.622501
293,-262.1688004013684,-22.663286708926606,2023-05-10 18:27:23.862671
294,95.6824448152835,-21.400527287351938,2023-05-10 18:29:52.857208
295,-353.1025537641681,-24.562029558117338,2023-05-10 18:31:59.077265
296,111.83597609797096,-23.223034514598062,2023-05-10 18:34:14.049383
297,0.6951239324212679,-24.74669973015192,2023-05-10 18:34:38.540836
298,-333.05239943142243,-29.9095539895378,2023-05-10 18:36:11.915640
299,18.925741095862023,-31.433658550996025,2023-05-10 18:36:43.227541
300,-320.93351163537795,-36.850527434146436,2023-05-10 18:37:38.194109
301,31.490017573730114,-36.1051684183961,2023-05-10 18:37:55.090991
302,191.43212807706828,-33.621350110853754,2023-05-10 18:39:36.770532
303,-33.20455767357244,-33.47587001603092,2023-05-10 18:39:53.815475
304,202.96075106456564,-31.027973424275814,2023-05-10 18:41:21.592301
305,-118.38391223404815,-31.962190815189896,2023-05-10 18:41:54.522349
306,199.08063226926282,-31.727013468359864,2023-05-10 18:42:36.959716
307,143.58495285108418,-30.396465865205183,2023-05-10 18:45:26.328730
308,-23.162810755807087,-30.29998453504312,2023-05-10 18:45:41.752051
309,141.67415608058036,-31.179637801800894,2023-05-10 18:47:54.259962
310,-283.60058739723644,-34.06988818571693,2023-05-10 18:50:38.230104
311,129.73202012915777,-32.847079026437726,2023-05-10 18:52:55.452908
312,-162.25256248618,-36.397017033686886,2023-05-10 18:53:39.183221
313,32.863260436606254,-35.58463409473364,2023-05-10 18:53:59.279288
314,-132.17339346115767,-38.00265501673468,2023-05-10 18:54:16.294092
315,-119.73103633227038,-39.18611713328655,2023-05-10 18:55:56.939945
316,217.43992652224298,-36.52137022731821,2023-05-10 18:56:41.757160
317,-73.43978114665593,-35.550519706990706,2023-05-10 18:57:56.909873
318,-252.5244877334953,-40.29777483003692,2023-05-10 18:59:52.239562
319,53.19400247745128,-37.12697961792392,2023-05-10 19:00:11.925678
320,178.9978514079282,-37.24392079081309,2023-05-10 19:02:05.112804
321,-63.015506882480835,-39.373344734151694,2023-05-10 19:05:08.676910
322,-52.89163496827215,-37.46054386647028,2023-05-10 19:08:12.514226
323,-43.09965058801933,-37.87649167837499,2023-05-10 19:11:15.942287
324,204.74970359205477,-38.06661861237546,2023-05-10 19:12:11.244753
325,-136.25948225260206,-41.30368187261401,2023-05-10 19:15:15.011497
326,120.92746316878426,-39.76618636329297,2023-05-10 19:18:18.266157
327,142.0834280427723,-40.44495989307481,2023-05-10 19:20:28.246860
328,94.46194990436618,-37.5778942005669,2023-05-10 19:23:23.642355
329,-57.455948438286825,-37.352928620085464,2023-05-10 19:23:39.427256
330,-69.10738689328048,-35.92315092283621,2023-05-10 19:23:50.712527
331,41.33285413439546,-31.788098921073264,2023-05-10 19:26:48.934199
332,158.10148730411635,-31.35689854439564,2023-05-10 19:28:42.959251
333,191.10231139680468,-31.52693356485437,2023-05-10 19:30:40.900401
334,272.97548014465315,-30.968923131260745,2023-05-10 19:31:40.691660
335,-45.55886911309052,-30.149055303386604,2023-05-10 19:34:44.023833
336,170.38779391945087,-26.248916278732604,2023-05-10 19:36:47.455986
337,190.77399737613786,-23.21796517482155,2023-05-10 19:38:50.381639
338,211.46949197918087,-21.107219592069264,2023-05-10 19:40:22.417221
339,12.253994351441577,-20.168332455838907,2023-05-10 19:41:18.159004
340,253.5039293532318,-17.83437935381111,2023-05-10 19:41:52.671253
341,259.80103098298713,-17.0055531470837,2023-05-10 19:43:13.456159
342,227.22057018646476,-16.248668826127126,2023-05-10 19:44:31.486358
343,42.31114585775975,-14.906536750908415,2023-05-10 19:47:35.884205
344,146.7571622900579,-11.580284230881876,2023-05-10 19:49:27.251689
345,148.39064202523844,-7.010175266890027,2023-05-10 19:51:19.529800
